_id,name,affiliations,title,addresses
9ce143ed-ed06-4db4-aa9b-d3b924df780e,"Pena, C.",['Caltech'],Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
e45032a6-1d9a-41b9-9133-de047358a7dc,"Pena, Cristian",['Caltech'],Calorimeters for Precision Timing Measurements in High Energy Physics,"['CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
424bfff6-b934-401a-b5a6-61854ef8b37f,"Spiropulu, M.",['Caltech'],Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, High Energy Phys, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91126 USA', 'CALTECH, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA']"
41e750b1-1cd8-48a0-9f80-b1d1ee53ac43,"Spiropulu, Maria",['Caltech'],Calorimeters for Precision Timing Measurements in High Energy Physics,"['CALTECH, Lauritsen Lab Phys, Pasadena, CA 92115 USA', 'CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Lauritsen Lab High Energy Phys, Pasadena, CA 92115 USA']"
c7f12184-da6c-4e44-b95f-84540f775732,"Vlimant, J. R.",['Caltech'],Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, High Energy Phys, Pasadena, CA 91125 USA', 'CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
fe998ea3-b3bc-4c6f-95a7-c61af4e36975,"Vlimant, J-R",['Caltech'],Monte Carlo Production Management at CMS,"['CALTECH, Pasadena, CA 91125 USA']"
5d237eb1-413d-42f1-ba91-5b92295c39ee,"Vlimant, Jean-Roch",['Caltech'],Named Data Networking in Climate Research and HEP Applications,"['CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
aa7c1d35-a6f2-4b49-b1c0-d9981210bdc3,"Vlimant, R.",['Caltech'],Precise determination of the mass of the Higgs boson and tests of compatibility of its couplings with the standard model predictions using proton collisions at 7 and 8 TeV,"['CALTECH, Pasadena, CA 91125 USA']"
c013b921-782c-49a4-98aa-73e94c071e8c,"Vlimant, J-R.",['Caltech'],Deep learning for inferring cause of data anomalies,"['CALTECH, Pasadena, CA 91125 USA']"
3bedd4df-ed2e-422e-9660-f236519e6afb,"Xie, S.",['Caltech'],Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91126 USA', 'CALTECH, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA']"
cd03ba84-4afa-437b-a7b7-12b07e4a7c30,"Xie, Si",['Caltech'],Calorimeters for Precision Timing Measurements in High Energy Physics,"['CALTECH, Lauritsen Lab Phys, Pasadena, CA 92115 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
0dd162de-4503-4870-b1c9-d69c91227223,"Xie, W.",['Caltech'],Search for electroweak production of charginos and neutralinos in multilepton final states in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, Pasadena, CA 91125 USA']"
ed4319cd-4840-4238-881a-432519f7f727,"Xie, Hao",['Caltech'],The isotopic structures of geological organic compounds,"['CALTECH, Div Geol & Planetary Sci, Pasadena, CA 91125 USA']"
0bec63d8-c01c-4f3e-8d0d-90a2a72f40eb,"Xie, Hua",['JPL'],Telemetry Ranging Using Software-Defined Radios,"['CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA']"
38c5eb27-5fe6-47be-b179-145c93cb11fb,"Xie, Justin L.",['Caltech'],"Catalog of Chromium, Cobalt, and Nickel Abundances in Globular Clusters and Dwarf Galaxies","['CALTECH, 1200 E Calif Blvd,MC 249-17, Pasadena, CA 91125 USA']"
1fd213c7-ddc5-4134-862b-efbb9c5b08de,"Xie, Xing",['Caltech'],Propidium monoazide pretreatment on a 3D-printed microfluidic device for efficient PCR determination of 'live versus dead' microbial cells,"['CALTECH, Linde Robinson Labs, 1200 East Calif Blvd,MC 131-24, Pasadena, CA 91125 USA', 'CALTECH, Linde Robinson Labs, Pasadena, CA 91125 USA']"
c23e0fda-fdb2-4738-af5e-2b57e0d7f56d,"Xie, Xiaosu",['JPL'],SURFACE STRESS IN TROPICAL CYCLONE OBSERVED BY SCATTEROMETER,"['CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA']"
7bfb4985-11b3-4ac9-b751-c94570167fe4,"Xie, Tian",['Caltech'],Toward Microwave-to-Optical Conversion using Erbium Doped Crystals and Integrated Resonators,"['CALTECH, Kavli Nanosci Inst, Pasadena, CA 91125 USA', 'CALTECH, Inst Quantum Informat & Matter, Pasadena, CA 91125 USA', 'CALTECH, Thomas J Watson Sr Lab Appl Phys, Pasadena, CA 91125 USA']"
c8327aab-b016-4646-ba94-41bd4f520ffc,"Zhu, R. Y.",['Caltech'],Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, Pasadena, CA 91125 USA']"
